   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.90708,             0.72768,             0.78805,             0.47317,            0.031082,            0.014046,           0.0019811,             0.00872,                0.01,             0.94042,             0.00054,              3.0421,             0.67702,             0.09457,              0.0469,             0.50276,              1.0104,             0.90557,              0.9646,                 0.2,              3.2296,                   0,             0.01503,             0.75107,             0.42703,                   0,             0.07247,             0.50478,                   0,                   0,                   0,                 0.5,             0.90475,                   0,                   0,              3.0051
             0.90729,             0.73012,             0.78116,             0.47106,            0.031202,             0.01387,           0.0019762,             0.00878,                0.01,              0.9407,             0.00054,              3.0627,             0.69284,              0.0941,              0.0469,             0.50333,               1.014,             0.89256,             0.96374,                 0.2,              3.2296,                   0,             0.01484,             0.75078,             0.42703,                   0,              0.0729,             0.49976,                   0,                   0,                   0,                 0.5,             0.90397,                   0,                   0,              3.0051
             0.89006,             0.72086,             0.77429,             0.45187,            0.031982,            0.013987,           0.0017921,             0.01038,             0.01003,             0.95062,             0.00051,              3.9587,             0.79491,             0.08473,              0.0469,             0.48875,             0.80363,             0.89256,             0.83204,                 0.2,              3.6545,                   0,             0.01531,             0.52936,             0.25104,                   0,             0.03701,             0.60906,                   0,                   0,                   0,                 0.5,              0.9805,                   0,                   0,              2.7584
             0.91113,             0.72656,             0.78384,              0.4739,            0.030416,            0.011073,           0.0020276,             0.00814,                0.01,              0.9407,             0.00053,              3.2704,             0.59573,              0.0941,              0.0469,             0.50333,              1.0952,             0.72376,             0.94457,                 0.2,              3.2993,                   0,              0.0154,             0.55006,             0.41264,                   0,              0.0729,             0.53459,                   0,                   0,                   0,                 0.5,             0.75512,                   0,                   0,              3.0051
             0.91207,             0.71895,             0.78487,             0.46782,             0.03091,            0.013559,           0.0019807,             0.00863,                0.01,             0.94143,             0.00058,              3.0421,             0.66423,             0.09085,             0.04652,             0.51097,             0.99874,             0.91627,             0.83728,                 0.2,              3.4233,                   0,             0.01422,             0.73117,             0.42188,                   0,             0.07127,             0.50478,                   0,                   0,                   0,                 0.5,             0.96323,                   0,                   0,              2.8277
             0.91008,             0.73426,             0.78428,             0.46829,            0.031028,            0.014045,           0.0020021,             0.00872,                0.01,             0.93927,             0.00054,              3.0561,             0.68347,             0.09457,             0.04684,              0.5102,              1.0104,             0.90557,             0.96507,                 0.2,              3.2721,                   0,             0.01504,             0.75506,             0.42964,                   0,             0.07296,             0.49997,                   0,                   0,                   0,                 0.5,              0.9012,                   0,                   0,              3.0448
             0.86532,              0.6681,             0.73723,             0.39324,            0.024737,           0.0095633,           0.0023863,             0.01064,             0.01351,                0.98,             0.00041,               3.121,             0.52552,             0.13643,             0.03964,             0.66502,             0.72083,             0.90557,             0.81177,                 0.2,              2.2831,                   0,             0.01359,             0.85041,              0.4436,                   0,             0.07281,             0.65478,                   0,                   0,                   0,                 0.5,             0.90475,                   0,                   0,              3.5883
             0.88124,             0.71695,             0.76851,             0.43634,            0.029895,            0.012248,           0.0021352,             0.00989,                0.01,             0.95293,             0.00056,              3.0421,             0.73671,              0.1077,             0.04861,             0.51802,              1.0104,             0.82591,             0.98052,                 0.2,              3.1477,                   0,             0.01689,             0.77023,             0.39067,                   0,             0.07247,             0.49986,                   0,                   0,                   0,                 0.5,             0.89025,                   0,                   0,              3.7773
             0.87467,             0.69261,             0.75502,             0.41313,            0.034539,            0.015184,            0.002321,             0.00837,                0.01,                0.98,             0.00051,              2.8664,             0.67702,             0.09457,             0.04931,             0.51322,              1.0007,             0.95769,             0.99399,                 0.2,              2.9563,                   0,             0.01567,             0.73391,             0.38483,                   0,             0.07172,             0.47197,                   0,                   0,                   0,                 0.5,             0.86926,                   0,                   0,               2.855
             0.89751,             0.72294,             0.77573,             0.45498,            0.028302,             0.01246,           0.0017372,             0.01037,                0.01,             0.94042,             0.00049,              2.6785,             0.63359,             0.10727,             0.04751,             0.48535,             0.89367,             0.90557,              0.9646,                 0.2,              2.9895,                   0,             0.01503,              0.7335,              0.3498,                   0,             0.06533,             0.50478,                   0,                   0,                   0,                 0.5,             0.90475,                   0,                   0,              3.8029
             0.89849,             0.73177,             0.78077,             0.46725,            0.034171,            0.013646,           0.0016909,             0.00872,                0.01,             0.94188,             0.00065,              3.0421,             0.75771,             0.09457,             0.05289,             0.48711,             0.83694,             0.90557,              0.9646,                 0.2,              3.1133,                   0,             0.01503,             0.78474,             0.45425,                   0,             0.07771,             0.50826,                   0,                   0,                   0,                 0.5,             0.93502,                   0,                   0,              3.0051
             0.91703,             0.74251,             0.79374,             0.49444,            0.025423,            0.012679,           0.0019839,             0.00762,                0.01,             0.91378,              0.0005,              3.4153,             0.68863,             0.09109,             0.04054,             0.50857,              1.1377,             0.85927,              1.0188,                 0.2,              3.0807,                   0,             0.01549,             0.81617,             0.42703,                   0,             0.07247,             0.32603,                   0,                   0,                   0,                 0.5,             0.90475,                   0,                   0,              2.7909
              0.9089,             0.71739,             0.76801,             0.44827,            0.031018,            0.020439,            0.001753,             0.01011,             0.01073,             0.93908,             0.00071,              2.8593,             0.82803,             0.09711,             0.04775,             0.38408,              1.0136,              1.1443,             0.97872,                 0.2,              4.6577,                   0,             0.01588,             0.54001,             0.28047,                   0,             0.08568,              0.2721,                   0,                   0,                   0,                 0.5,             0.80073,                   0,                   0,              3.6965
             0.82144,             0.71316,             0.76557,             0.45677,            0.021671,            0.022242,            0.001463,             0.01006,                0.01,             0.87683,             0.00074,              2.9591,             0.85827,             0.09669,             0.03341,              0.2984,             0.99472,               1.089,              1.2905,                 0.2,              4.6545,                   0,             0.01734,             0.58224,             0.37672,                   0,             0.08195,             0.28683,                   0,                   0,                   0,                 0.5,             0.73159,                   0,                   0,              3.7143
             0.90886,             0.73425,             0.78166,             0.48199,            0.028123,            0.021755,           0.0015285,              0.0101,             0.01028,             0.91155,             0.00064,              2.8046,             0.94702,             0.09465,              0.0402,             0.35612,             0.97878,              1.0825,              1.1261,                 0.2,               4.715,                   0,             0.01731,             0.59284,             0.37528,                   0,             0.09224,             0.27642,                   0,                   0,                   0,                 0.5,             0.73098,                   0,                   0,              3.0076
             0.92524,             0.64403,             0.76072,             0.45696,            0.025637,            0.022276,           0.0017202,             0.00753,                0.01,             0.87067,             0.00075,              2.9067,                0.95,             0.10454,             0.04075,             0.35424,             0.92337,              1.1832,              1.1661,                 0.2,               4.627,                   0,             0.01643,             0.46854,             0.36358,                   0,             0.10676,             0.33035,                   0,                   0,                   0,                 0.5,             0.87336,                   0,                   0,               3.912
             0.90301,             0.74063,             0.78416,             0.48437,            0.035081,            0.021583,           0.0015863,             0.00754,             0.01163,             0.88523,             0.00055,              2.9067,                0.95,             0.09905,             0.05063,             0.37859,             0.96972,              1.0016,              1.2576,                 0.2,              5.1245,                   0,             0.01804,             0.56368,             0.36121,                   0,             0.08462,             0.25712,                   0,                   0,                   0,                 0.5,             0.73159,                   0,                   0,              2.6435
             0.90799,             0.73738,             0.77858,             0.46892,            0.034418,            0.031635,          0.00085376,             0.01275,                0.01,             0.82971,              0.0005,               3.738,             0.56059,             0.12169,                0.05,                 0.2,             0.86329,              1.4334,              1.3969,                 0.2,              4.5885,                   0,             0.01268,             0.80381,             0.18493,                   0,             0.10364,             0.46821,                   0,                   0,                   0,                 0.5,             0.95545,                   0,                   0,              3.4618
             0.89833,             0.73914,             0.78564,             0.48569,            0.030857,            0.018834,           0.0015073,             0.01116,             0.01012,              0.8596,              0.0005,              3.3874,             0.73152,             0.09268,             0.04745,             0.40837,              0.8746,                   1,              1.2386,                 0.2,              3.8602,                   0,              0.0155,             0.50285,             0.44749,                   0,             0.09896,               0.479,                   0,                   0,                   0,                 0.5,             0.95545,                   0,                   0,               2.785
             0.91386,             0.73125,              0.7828,             0.47736,            0.034365,            0.021887,           0.0016019,             0.00773,             0.01173,             0.87886,             0.00055,              3.1311,                0.95,             0.09612,             0.04897,             0.37018,             0.99888,               1.002,              1.2576,                 0.2,              5.1245,                   0,             0.01836,             0.58584,             0.36521,                   0,               0.087,             0.25885,                   0,                   0,                   0,                 0.5,             0.74767,                   0,                   0,              2.6366
             0.90098,             0.72336,             0.78166,             0.46592,             0.02732,            0.025496,           0.0016367,              0.0086,             0.01127,             0.93763,             0.00036,              3.1762,                0.95,             0.11629,             0.03579,             0.34181,              1.0739,              1.0564,               1.264,                 0.2,              6.1601,                   0,             0.01898,             0.49061,             0.23161,                   0,             0.08462,             0.30778,                   0,                   0,                   0,                 0.5,              0.3934,                   0,                   0,              2.6435
             0.90995,             0.73507,             0.77593,             0.47126,            0.035706,            0.024477,           0.0015871,             0.00754,             0.01143,              0.8831,             0.00058,              3.0358,             0.92455,             0.09729,             0.04766,             0.34767,             0.91262,              1.0835,              1.2576,                 0.2,              5.1912,                   0,             0.01892,             0.55694,             0.37634,                   0,             0.08462,             0.27033,                   0,                   0,                   0,                 0.5,             0.74104,                   0,                   0,              2.3566
             0.90469,              0.7346,             0.78177,             0.47894,            0.041971,            0.025628,           0.0017574,             0.00754,             0.01163,             0.89248,             0.00046,              2.9067,                0.95,             0.10384,             0.05936,             0.48807,             0.69974,              1.2631,              1.0834,                 0.2,              5.1245,                   0,             0.01804,             0.51191,             0.38707,                   0,             0.08462,             0.27715,                   0,                   0,                   0,                 0.5,             0.77367,                   0,                   0,              2.5962
             0.90236,             0.73743,             0.78323,             0.48416,            0.036367,            0.021439,           0.0016276,             0.00741,             0.01251,             0.91313,             0.00059,              2.8142,             0.93391,             0.10275,             0.05127,             0.39785,             0.84515,              1.0016,              1.1696,                 0.2,              5.4083,                   0,             0.01542,             0.53505,             0.34747,                   0,             0.08699,              0.2512,                   0,                   0,                   0,                 0.5,             0.73159,                   0,                   0,              2.5748
             0.90267,             0.73547,             0.78787,             0.48759,            0.036605,            0.021516,           0.0015443,             0.00656,             0.01325,             0.93396,             0.00058,              2.8142,             0.63609,              0.1154,             0.05127,              0.4227,             0.66165,              1.0016,              1.1696,                 0.2,              5.4083,                   0,             0.01078,             0.47308,              0.4214,                   0,             0.08796,             0.24408,                   0,                   0,                   0,                 0.5,             0.31127,                   0,                   0,              2.5748
