               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.019053,           0.0051542,           0.0019643,             0.92357,             0.75561,             0.83113,             0.53517,            0.018915,           0.0043879,           0.0014766,           0.0069684,           0.0069684,           0.0069684
                  72,            0.019018,           0.0051723,           0.0019507,             0.92391,             0.75562,               0.831,             0.53593,            0.018908,           0.0043859,           0.0014749,           0.0069555,           0.0069555,           0.0069555
                  73,            0.018942,           0.0051426,            0.001949,              0.9247,             0.75601,             0.83148,             0.53647,            0.018898,           0.0043839,           0.0014728,           0.0069426,           0.0069426,           0.0069426
                  74,            0.018929,           0.0051749,           0.0018946,             0.92553,             0.75686,             0.83247,             0.53712,            0.018886,           0.0043817,           0.0014713,           0.0069297,           0.0069297,           0.0069297
                  75,            0.019032,           0.0051868,           0.0019604,             0.92344,              0.7559,             0.82882,             0.53604,            0.018877,           0.0043808,           0.0014696,           0.0069168,           0.0069168,           0.0069168
                  76,            0.018966,            0.005235,           0.0019128,              0.9244,             0.75656,             0.82887,              0.5362,            0.018867,           0.0043788,           0.0014683,           0.0069039,           0.0069039,           0.0069039
                  77,            0.018861,           0.0051291,           0.0018908,              0.9241,              0.7582,             0.82937,             0.53622,            0.018857,           0.0043769,           0.0014675,           0.0068911,           0.0068911,           0.0068911
                  78,            0.018904,           0.0051419,            0.001921,             0.92363,             0.75888,             0.83049,             0.53657,             0.01885,           0.0043756,           0.0014663,           0.0068782,           0.0068782,           0.0068782
                  79,            0.018912,           0.0051234,           0.0019115,             0.92316,             0.75935,             0.83067,             0.53687,            0.018841,            0.004374,            0.001465,           0.0068653,           0.0068653,           0.0068653
                  80,            0.018894,           0.0051018,           0.0019059,              0.9234,             0.75933,             0.83024,             0.53615,            0.018835,           0.0043721,            0.001464,           0.0068524,           0.0068524,           0.0068524
                  81,            0.018828,           0.0051393,           0.0019397,               0.923,             0.75863,             0.83028,             0.53666,             0.01883,           0.0043709,           0.0014629,           0.0068395,           0.0068395,           0.0068395
                  82,            0.018877,           0.0051452,           0.0018541,              0.9235,             0.75838,             0.83039,             0.53662,            0.018821,           0.0043693,           0.0014615,           0.0068267,           0.0068267,           0.0068267
                  83,            0.018914,           0.0051127,           0.0019055,             0.92412,             0.75773,             0.82991,             0.53706,            0.018812,           0.0043676,           0.0014597,           0.0068138,           0.0068138,           0.0068138
                  84,            0.018881,           0.0051564,           0.0019223,             0.92334,             0.75865,             0.83024,             0.53704,            0.018805,           0.0043661,           0.0014578,           0.0068009,           0.0068009,           0.0068009
                  85,            0.018873,            0.005102,            0.001909,             0.92393,             0.75963,             0.83133,             0.53806,            0.018796,           0.0043646,           0.0014565,            0.006788,            0.006788,            0.006788
                  86,            0.018848,           0.0051212,           0.0019682,             0.92444,              0.7583,             0.83017,             0.53729,            0.018787,           0.0043631,           0.0014558,           0.0067751,           0.0067751,           0.0067751
                  87,            0.018824,           0.0050943,           0.0019139,             0.92599,             0.75824,             0.83033,             0.53695,             0.01878,           0.0043621,           0.0014548,           0.0067623,           0.0067623,           0.0067623
                  88,            0.018949,           0.0051462,           0.0019174,             0.92588,             0.75843,             0.83049,             0.53712,            0.018772,            0.004361,           0.0014534,           0.0067494,           0.0067494,           0.0067494
                  89,            0.018809,           0.0051382,           0.0018865,             0.92769,             0.75831,              0.8306,             0.53586,            0.018762,           0.0043595,           0.0014519,           0.0067365,           0.0067365,           0.0067365
                  90,            0.018789,           0.0051397,           0.0019187,             0.92787,             0.75858,             0.83067,             0.53633,             0.01875,           0.0043573,           0.0014501,           0.0067236,           0.0067236,           0.0067236
                  91,              0.0188,           0.0051309,           0.0018912,             0.92753,             0.75906,             0.82996,             0.53635,            0.018744,           0.0043562,           0.0014484,           0.0067107,           0.0067107,           0.0067107
                  92,            0.018866,           0.0051354,            0.001935,             0.92504,              0.7589,             0.83058,             0.53786,            0.018735,           0.0043543,           0.0014467,           0.0066979,           0.0066979,           0.0066979
                  93,            0.018865,           0.0051661,           0.0019291,             0.92593,             0.75878,             0.83068,             0.53894,             0.01873,           0.0043531,           0.0014451,            0.006685,            0.006685,            0.006685
                  94,            0.018733,           0.0050884,           0.0018392,              0.9256,             0.75861,             0.83139,             0.53811,            0.018722,           0.0043519,           0.0014438,           0.0066721,           0.0066721,           0.0066721
                  95,            0.018782,           0.0051428,           0.0019045,              0.9251,             0.75925,             0.83419,             0.54054,            0.018713,           0.0043502,           0.0014422,           0.0066592,           0.0066592,           0.0066592
                  96,             0.01878,           0.0051275,           0.0019466,             0.92479,             0.75908,             0.83472,             0.54077,            0.018707,           0.0043489,           0.0014406,           0.0066463,           0.0066463,           0.0066463
                  97,            0.018754,           0.0051046,           0.0019067,             0.92463,             0.75927,              0.8351,             0.54122,            0.018701,           0.0043484,           0.0014395,           0.0066335,           0.0066335,           0.0066335
                  98,            0.018745,           0.0051026,           0.0019003,             0.92552,             0.75906,              0.8344,             0.54096,            0.018698,           0.0043482,           0.0014387,           0.0066206,           0.0066206,           0.0066206
                  99,            0.018622,           0.0050968,           0.0019064,             0.92617,             0.75858,             0.83479,             0.54145,             0.01869,           0.0043465,           0.0014381,           0.0066077,           0.0066077,           0.0066077
                 100,             0.01866,           0.0051052,           0.0018718,             0.92644,             0.75841,             0.83509,             0.54196,            0.018685,           0.0043443,           0.0014376,           0.0065948,           0.0065948,           0.0065948
                 101,            0.018624,           0.0050791,           0.0018571,             0.92782,             0.75743,             0.83492,             0.54215,            0.018681,           0.0043435,           0.0014375,           0.0065819,           0.0065819,           0.0065819
                 102,            0.018757,           0.0051503,           0.0018869,             0.92557,             0.75821,             0.83706,             0.54271,            0.018673,           0.0043413,           0.0014374,            0.006569,            0.006569,            0.006569
                 103,            0.018703,           0.0050933,           0.0018785,             0.92544,             0.75801,             0.83738,             0.54307,            0.018667,           0.0043395,            0.001437,           0.0065562,           0.0065562,           0.0065562
                 104,            0.018631,            0.005062,           0.0018678,              0.9252,             0.75865,             0.83707,             0.54272,            0.018663,           0.0043387,           0.0014365,           0.0065433,           0.0065433,           0.0065433
                 105,            0.018532,           0.0050563,           0.0018276,             0.92633,             0.75919,             0.83747,             0.54339,            0.018658,           0.0043375,           0.0014359,           0.0065304,           0.0065304,           0.0065304
                 106,            0.018605,           0.0050589,           0.0018425,             0.92798,             0.75864,             0.83722,             0.54364,            0.018652,           0.0043359,           0.0014348,           0.0065175,           0.0065175,           0.0065175
                 107,            0.018651,           0.0051034,           0.0018855,             0.92882,             0.75786,             0.83727,             0.54329,            0.018644,           0.0043339,           0.0014339,           0.0065046,           0.0065046,           0.0065046
                 108,            0.018605,           0.0050592,            0.001848,             0.92632,             0.75819,             0.83759,             0.54557,            0.018638,           0.0043326,            0.001433,           0.0064918,           0.0064918,           0.0064918
                 109,            0.018595,            0.005059,           0.0018282,             0.92633,             0.75832,             0.83931,             0.54693,            0.018632,           0.0043319,           0.0014327,           0.0064789,           0.0064789,           0.0064789
                 110,            0.018581,           0.0050857,           0.0018895,             0.92632,              0.7583,             0.83907,              0.5474,            0.018625,           0.0043302,           0.0014323,            0.006466,            0.006466,            0.006466
                 111,            0.018604,           0.0050765,           0.0018413,             0.92721,             0.75791,             0.83925,             0.54756,            0.018621,           0.0043299,           0.0014317,           0.0064531,           0.0064531,           0.0064531
                 112,            0.018607,           0.0050848,           0.0018619,             0.92498,             0.75833,             0.83871,             0.54855,            0.018615,           0.0043284,           0.0014305,           0.0064402,           0.0064402,           0.0064402
                 113,            0.018579,           0.0050656,           0.0018627,             0.92544,             0.75916,             0.83994,              0.5492,             0.01861,           0.0043268,           0.0014294,           0.0064274,           0.0064274,           0.0064274
                 114,            0.018608,           0.0050702,           0.0018431,             0.92677,             0.75913,                0.84,              0.5493,            0.018608,           0.0043256,           0.0014286,           0.0064145,           0.0064145,           0.0064145
                 115,            0.018602,           0.0050969,            0.001905,             0.92717,             0.76035,             0.83989,             0.54922,            0.018604,           0.0043243,           0.0014281,           0.0064016,           0.0064016,           0.0064016
                 116,            0.018559,           0.0050523,            0.001823,             0.92656,             0.75995,             0.84079,             0.54978,            0.018599,           0.0043225,           0.0014272,           0.0063887,           0.0063887,           0.0063887
                 117,             0.01848,           0.0050736,           0.0018077,             0.92564,             0.75879,             0.83961,             0.54978,            0.018588,             0.00432,            0.001426,           0.0063758,           0.0063758,           0.0063758
                 118,             0.01854,           0.0050667,           0.0018439,             0.92571,             0.75924,             0.83996,             0.54995,             0.01858,           0.0043187,           0.0014247,            0.006363,            0.006363,            0.006363
                 119,            0.018543,           0.0050499,           0.0018467,             0.92568,             0.75981,             0.84352,             0.55181,            0.018576,           0.0043178,           0.0014241,           0.0063501,           0.0063501,           0.0063501
                 120,            0.018525,           0.0050437,           0.0018865,             0.92736,             0.75777,             0.84157,             0.55053,             0.01857,           0.0043171,           0.0014234,           0.0063372,           0.0063372,           0.0063372
                 121,            0.018483,           0.0049976,           0.0018171,             0.93026,             0.75673,             0.84356,             0.55208,            0.018564,           0.0043158,           0.0014225,           0.0063243,           0.0063243,           0.0063243
                 122,             0.01855,           0.0050474,           0.0018769,             0.93106,             0.75612,             0.84388,              0.5523,            0.018556,           0.0043142,            0.001422,           0.0063114,           0.0063114,           0.0063114
                 123,            0.018504,           0.0050744,           0.0018629,             0.92919,             0.75727,             0.84428,             0.55119,            0.018552,           0.0043131,           0.0014223,           0.0062986,           0.0062986,           0.0062986
                 124,            0.018491,           0.0050584,           0.0018431,             0.93037,             0.75564,             0.84363,             0.55098,            0.018548,           0.0043115,           0.0014219,           0.0062857,           0.0062857,           0.0062857
                 125,            0.018493,            0.005021,           0.0018302,             0.92885,             0.75773,             0.84401,             0.55061,            0.018542,           0.0043109,           0.0014217,           0.0062728,           0.0062728,           0.0062728
                 126,            0.018449,           0.0050517,           0.0018201,             0.92952,              0.7583,             0.84465,              0.5514,            0.018536,           0.0043093,           0.0014215,           0.0062599,           0.0062599,           0.0062599
                 127,            0.018489,           0.0050259,           0.0018231,             0.93034,             0.75756,              0.8465,             0.55213,            0.018532,           0.0043077,           0.0014211,            0.006247,            0.006247,            0.006247
                 128,            0.018467,           0.0050145,           0.0018165,             0.92936,             0.75816,             0.84677,             0.55218,            0.018526,           0.0043065,           0.0014206,           0.0062342,           0.0062342,           0.0062342
                 129,            0.018414,           0.0050557,           0.0018204,             0.92815,              0.7593,               0.847,             0.55379,            0.018522,           0.0043053,           0.0014203,           0.0062213,           0.0062213,           0.0062213
                 130,            0.018443,           0.0050285,           0.0018189,             0.92831,             0.75997,             0.84749,             0.55445,            0.018517,           0.0043042,            0.001421,           0.0062084,           0.0062084,           0.0062084
                 131,            0.018464,            0.005038,           0.0018473,             0.92812,             0.76005,             0.84773,             0.55545,            0.018506,           0.0043024,           0.0014207,           0.0061955,           0.0061955,           0.0061955
                 132,              0.0185,           0.0050756,           0.0018329,             0.92732,              0.7605,             0.84789,             0.55504,            0.018497,           0.0043002,           0.0014202,           0.0061826,           0.0061826,           0.0061826
                 133,            0.018409,           0.0050112,           0.0017751,             0.92776,                0.76,              0.8483,             0.55535,            0.018491,           0.0042988,           0.0014203,           0.0061697,           0.0061697,           0.0061697
                 134,             0.01838,           0.0050262,            0.001851,             0.92782,             0.76181,              0.8494,             0.55665,            0.018482,           0.0042973,           0.0014196,           0.0061569,           0.0061569,           0.0061569
                 135,            0.018359,           0.0050375,           0.0018433,             0.92749,             0.76132,             0.84908,             0.55702,            0.018476,           0.0042962,           0.0014192,            0.006144,            0.006144,            0.006144
                 136,            0.018374,           0.0050287,           0.0018575,             0.92922,             0.76154,             0.85098,             0.55802,            0.018472,           0.0042956,           0.0014187,           0.0061311,           0.0061311,           0.0061311
                 137,            0.018373,           0.0050548,           0.0018844,             0.92882,             0.76146,             0.85112,             0.55817,            0.018468,           0.0042952,           0.0014186,           0.0061182,           0.0061182,           0.0061182
                 138,             0.01836,           0.0049871,           0.0018337,             0.92715,             0.76191,             0.85085,             0.55822,            0.018463,           0.0042946,           0.0014181,           0.0061053,           0.0061053,           0.0061053
                 139,            0.018359,           0.0050432,           0.0018449,             0.92756,             0.76171,             0.85156,               0.558,            0.018456,           0.0042939,           0.0014173,           0.0060925,           0.0060925,           0.0060925
                 140,            0.018244,           0.0050085,           0.0018106,             0.92871,             0.76244,             0.85215,             0.55825,            0.018449,           0.0042929,           0.0014162,           0.0060796,           0.0060796,           0.0060796
                 141,            0.018367,           0.0050062,           0.0017734,             0.92909,              0.7619,             0.85303,              0.5586,            0.018445,           0.0042923,           0.0014146,           0.0060667,           0.0060667,           0.0060667
                 142,            0.018286,            0.005007,           0.0018357,             0.93025,             0.75997,              0.8537,             0.55858,            0.018434,           0.0042902,           0.0014133,           0.0060538,           0.0060538,           0.0060538
                 143,            0.018301,           0.0050002,           0.0017948,             0.93084,              0.7603,             0.85442,             0.55897,            0.018424,            0.004288,           0.0014124,           0.0060409,           0.0060409,           0.0060409
                 144,            0.018272,           0.0050176,            0.001838,             0.93249,              0.7613,             0.85552,             0.55907,            0.018417,           0.0042862,           0.0014106,           0.0060281,           0.0060281,           0.0060281
                 145,            0.018271,           0.0050222,           0.0017857,             0.93125,             0.76226,             0.85591,             0.55922,            0.018413,           0.0042853,           0.0014099,           0.0060152,           0.0060152,           0.0060152
                 146,             0.01829,           0.0050174,           0.0018219,             0.93264,             0.76202,             0.85626,             0.55955,            0.018411,           0.0042849,           0.0014099,           0.0060023,           0.0060023,           0.0060023
                 147,            0.018192,           0.0049895,           0.0018243,             0.93254,             0.76216,             0.85667,             0.55966,            0.018402,           0.0042833,           0.0014093,           0.0059894,           0.0059894,           0.0059894
                 148,            0.018195,           0.0049738,           0.0018537,             0.93304,             0.76208,             0.85856,             0.56102,            0.018397,           0.0042819,           0.0014085,           0.0059765,           0.0059765,           0.0059765
                 149,            0.018324,           0.0049601,           0.0018334,             0.93331,             0.76211,             0.85895,             0.56155,            0.018392,           0.0042804,           0.0014083,           0.0059637,           0.0059637,           0.0059637
