               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.035079,            0.024327,           0.0035375,             0.86711,              0.6755,             0.73805,             0.40739,            0.031725,            0.017146,           0.0021459,            0.007954,            0.007954,            0.007954
                  64,            0.034952,             0.02428,            0.003585,             0.86635,             0.67748,             0.73784,               0.408,            0.031697,            0.017132,           0.0021412,            0.007921,            0.007921,            0.007921
                  65,            0.034841,            0.024368,           0.0034386,             0.86471,             0.67754,             0.73843,             0.40852,             0.03167,            0.017119,           0.0021364,            0.007888,            0.007888,            0.007888
                  66,            0.034961,            0.024428,           0.0034973,             0.86715,             0.67775,              0.7392,             0.40884,            0.031641,            0.017104,           0.0021312,            0.007855,            0.007855,            0.007855
                  67,            0.034645,            0.024225,           0.0034334,             0.86727,             0.67712,             0.73964,             0.40935,            0.031615,            0.017092,           0.0021265,            0.007822,            0.007822,            0.007822
                  68,            0.034741,            0.024311,            0.003419,             0.86717,             0.68034,             0.73967,             0.40952,            0.031585,            0.017079,           0.0021217,            0.007789,            0.007789,            0.007789
                  69,            0.034475,             0.02417,           0.0034041,              0.8691,             0.67993,             0.74076,             0.40998,            0.031553,            0.017065,           0.0021166,            0.007756,            0.007756,            0.007756
                  70,            0.034678,            0.024395,           0.0034533,             0.87028,             0.67958,             0.74163,             0.41074,            0.031525,            0.017052,           0.0021118,            0.007723,            0.007723,            0.007723
                  71,            0.034437,            0.024074,           0.0033898,             0.87208,             0.68016,             0.74163,             0.41204,            0.031496,            0.017037,           0.0021063,             0.00769,             0.00769,             0.00769
                  72,            0.034512,            0.024237,            0.003415,             0.87383,             0.67995,             0.74299,             0.41261,            0.031466,            0.017023,           0.0021013,            0.007657,            0.007657,            0.007657
                  73,            0.034397,            0.023989,           0.0033895,             0.87649,             0.68065,             0.74401,             0.41368,            0.031436,            0.017007,           0.0020963,            0.007624,            0.007624,            0.007624
                  74,            0.034295,            0.024104,           0.0033329,             0.87776,             0.68334,             0.74474,             0.41421,            0.031406,            0.016989,            0.002091,            0.007591,            0.007591,            0.007591
                  75,            0.034394,            0.024049,             0.00335,              0.8726,             0.68697,              0.7454,             0.41482,            0.031378,            0.016974,           0.0020854,            0.007558,            0.007558,            0.007558
                  76,            0.034218,            0.024208,           0.0033776,             0.87448,             0.68796,             0.74544,             0.41566,            0.031347,            0.016956,           0.0020793,            0.007525,            0.007525,            0.007525
                  77,            0.034102,            0.023929,           0.0032834,             0.87406,             0.68998,             0.74593,             0.41668,            0.031318,            0.016942,           0.0020734,            0.007492,            0.007492,            0.007492
                  78,             0.03416,            0.024017,           0.0033872,             0.87272,             0.69295,             0.74659,             0.41706,            0.031286,            0.016926,           0.0020669,            0.007459,            0.007459,            0.007459
                  79,            0.034109,            0.023801,           0.0033664,             0.87417,             0.69334,             0.74699,             0.41774,            0.031257,            0.016912,           0.0020605,            0.007426,            0.007426,            0.007426
                  80,            0.034079,            0.023931,           0.0033578,             0.87529,             0.69353,             0.74741,             0.41824,            0.031231,            0.016898,           0.0020546,            0.007393,            0.007393,            0.007393
                  81,            0.033928,            0.023777,           0.0033471,             0.87297,             0.69638,             0.74853,             0.41875,            0.031202,            0.016883,            0.002049,             0.00736,             0.00736,             0.00736
                  82,            0.033807,            0.023686,           0.0031839,             0.87411,             0.69545,             0.74856,             0.41879,            0.031173,            0.016868,           0.0020428,            0.007327,            0.007327,            0.007327
                  83,            0.033871,            0.023545,           0.0032798,             0.87112,              0.7009,             0.74862,              0.4191,            0.031145,            0.016854,           0.0020366,            0.007294,            0.007294,            0.007294
                  84,            0.033761,            0.023718,            0.003242,             0.87354,             0.69961,             0.74965,             0.41933,            0.031116,            0.016841,           0.0020301,            0.007261,            0.007261,            0.007261
                  85,            0.033835,            0.023496,           0.0032888,             0.87596,             0.69833,             0.74949,             0.41941,            0.031087,            0.016827,           0.0020243,            0.007228,            0.007228,            0.007228
                  86,            0.033678,            0.023378,           0.0031956,              0.8759,             0.69764,             0.75048,             0.42049,            0.031058,            0.016811,           0.0020184,            0.007195,            0.007195,            0.007195
                  87,            0.033653,            0.023464,           0.0032568,             0.87814,             0.69705,             0.75127,             0.42107,            0.031028,            0.016795,           0.0020132,            0.007162,            0.007162,            0.007162
                  88,            0.033764,            0.023607,           0.0032059,             0.87895,             0.69688,             0.75181,             0.42163,            0.030999,             0.01678,           0.0020084,            0.007129,            0.007129,            0.007129
                  89,            0.033593,            0.023722,           0.0032004,             0.88091,             0.69548,             0.75227,             0.42202,            0.030966,            0.016763,           0.0020037,            0.007096,            0.007096,            0.007096
                  90,            0.033558,            0.023504,           0.0031987,             0.88115,             0.69513,             0.75263,             0.42306,            0.030936,            0.016747,           0.0019992,            0.007063,            0.007063,            0.007063
                  91,            0.033491,            0.023583,           0.0031522,             0.88207,             0.69627,             0.75284,             0.42388,            0.030908,            0.016732,           0.0019956,             0.00703,             0.00703,             0.00703
                  92,            0.033548,            0.023381,           0.0031837,             0.88043,             0.69649,             0.75342,             0.42424,             0.03088,            0.016718,           0.0019913,            0.006997,            0.006997,            0.006997
                  93,            0.033481,            0.023493,            0.003164,             0.88009,              0.6973,             0.75403,             0.42461,            0.030853,            0.016702,           0.0019866,            0.006964,            0.006964,            0.006964
                  94,            0.033247,            0.023311,           0.0031632,             0.88049,             0.69884,             0.75469,             0.42542,            0.030826,            0.016687,           0.0019815,            0.006931,            0.006931,            0.006931
                  95,            0.033323,            0.023525,           0.0031844,             0.88176,             0.69901,             0.75513,               0.426,            0.030796,             0.01667,           0.0019768,            0.006898,            0.006898,            0.006898
                  96,            0.033108,            0.023245,           0.0031767,             0.88348,             0.69693,             0.75493,             0.42674,            0.030766,            0.016654,            0.001972,            0.006865,            0.006865,            0.006865
                  97,            0.033184,            0.023326,           0.0031475,             0.88593,              0.6965,             0.75562,             0.42746,            0.030737,            0.016634,           0.0019678,            0.006832,            0.006832,            0.006832
                  98,            0.033084,            0.023226,           0.0030876,             0.88572,             0.69623,             0.75633,             0.42862,            0.030708,            0.016618,            0.001963,            0.006799,            0.006799,            0.006799
                  99,            0.032972,             0.02319,           0.0031481,             0.88645,             0.69647,             0.75708,             0.42965,            0.030679,            0.016602,            0.001958,            0.006766,            0.006766,            0.006766
                 100,            0.033011,            0.023214,           0.0030934,             0.88891,             0.69639,               0.758,             0.43039,            0.030651,            0.016584,           0.0019532,            0.006733,            0.006733,            0.006733
                 101,            0.032878,            0.023137,            0.003137,             0.88776,             0.69712,             0.75897,             0.43082,            0.030622,            0.016567,           0.0019491,              0.0067,              0.0067,              0.0067
                 102,            0.032984,            0.023286,           0.0030787,             0.88916,             0.69702,             0.75964,             0.43136,            0.030595,            0.016549,           0.0019447,            0.006667,            0.006667,            0.006667
                 103,            0.032894,            0.023136,           0.0031175,             0.88843,             0.69747,             0.75988,             0.43198,            0.030567,            0.016534,           0.0019399,            0.006634,            0.006634,            0.006634
                 104,            0.032818,            0.023098,           0.0030698,             0.88959,             0.69735,              0.7607,             0.43337,             0.03054,            0.016518,            0.001935,            0.006601,            0.006601,            0.006601
                 105,            0.032651,            0.022954,           0.0030057,             0.88818,             0.69893,             0.76166,             0.43408,            0.030512,            0.016504,           0.0019305,            0.006568,            0.006568,            0.006568
                 106,             0.03272,             0.02296,           0.0030266,             0.88781,             0.69926,             0.76191,             0.43447,            0.030485,             0.01649,           0.0019266,            0.006535,            0.006535,            0.006535
                 107,            0.032743,            0.023081,           0.0030348,             0.88607,             0.70066,             0.76232,             0.43551,            0.030458,            0.016473,            0.001923,            0.006502,            0.006502,            0.006502
                 108,            0.032634,            0.022883,           0.0030202,             0.88542,             0.70212,              0.7625,             0.43639,            0.030427,            0.016456,            0.001919,            0.006469,            0.006469,            0.006469
                 109,            0.032607,            0.022984,           0.0030231,             0.88477,             0.70382,              0.7629,             0.43714,            0.030399,             0.01644,           0.0019151,            0.006436,            0.006436,            0.006436
                 110,            0.032556,            0.022912,           0.0030447,             0.88413,             0.70507,             0.76326,             0.43808,             0.03037,            0.016423,           0.0019122,            0.006403,            0.006403,            0.006403
                 111,            0.032509,            0.022779,           0.0030064,              0.8843,              0.7056,             0.76397,             0.43912,            0.030341,            0.016406,           0.0019085,             0.00637,             0.00637,             0.00637
                 112,            0.032478,            0.022821,           0.0029444,             0.88464,             0.70688,             0.76368,             0.43953,            0.030312,             0.01639,           0.0019051,            0.006337,            0.006337,            0.006337
                 113,            0.032525,             0.02279,           0.0030374,             0.88432,              0.7063,             0.76371,             0.44003,            0.030282,            0.016374,            0.001901,            0.006304,            0.006304,            0.006304
                 114,            0.032436,             0.02288,           0.0030094,             0.88173,             0.70732,             0.76338,             0.44117,            0.030253,            0.016358,           0.0018976,            0.006271,            0.006271,            0.006271
                 115,            0.032448,             0.02282,           0.0030317,             0.87998,             0.70983,             0.76385,             0.44164,            0.030225,            0.016343,           0.0018935,            0.006238,            0.006238,            0.006238
                 116,            0.032434,            0.022708,           0.0029475,             0.87929,             0.71063,              0.7641,             0.44141,            0.030197,            0.016326,           0.0018893,            0.006205,            0.006205,            0.006205
                 117,            0.032197,            0.022669,           0.0029136,             0.87981,             0.71042,             0.76417,             0.44242,            0.030166,            0.016309,           0.0018847,            0.006172,            0.006172,            0.006172
                 118,             0.03226,            0.022688,           0.0029288,             0.87884,             0.71315,             0.76454,             0.44342,            0.030136,            0.016292,           0.0018804,            0.006139,            0.006139,            0.006139
                 119,            0.032137,            0.022612,           0.0029802,             0.87976,             0.71216,             0.76489,             0.44396,            0.030105,            0.016277,           0.0018759,            0.006106,            0.006106,            0.006106
                 120,            0.032092,            0.022731,           0.0029629,             0.87968,             0.71394,             0.76537,             0.44456,            0.030075,             0.01626,           0.0018723,            0.006073,            0.006073,            0.006073
                 121,            0.032054,             0.02253,           0.0029022,              0.8815,             0.71529,             0.76622,             0.44549,            0.030045,            0.016242,           0.0018686,             0.00604,             0.00604,             0.00604
                 122,            0.032136,            0.022464,           0.0029343,             0.88084,             0.71614,             0.76693,             0.44604,            0.030016,            0.016224,           0.0018651,            0.006007,            0.006007,            0.006007
                 123,            0.032042,            0.022517,            0.002929,              0.8817,             0.71669,             0.76754,             0.44655,            0.029986,            0.016207,           0.0018612,            0.005974,            0.005974,            0.005974
                 124,            0.031937,            0.022445,           0.0028875,             0.88224,             0.71838,             0.76798,             0.44695,            0.029954,             0.01619,           0.0018574,            0.005941,            0.005941,            0.005941
                 125,            0.031992,            0.022393,           0.0028648,             0.88181,             0.71867,             0.76726,              0.4476,            0.029925,            0.016174,           0.0018536,            0.005908,            0.005908,            0.005908
                 126,            0.031757,            0.022462,           0.0028591,             0.88265,             0.71909,             0.76662,             0.44787,            0.029896,            0.016158,           0.0018502,            0.005875,            0.005875,            0.005875
                 127,            0.031809,            0.022341,           0.0028573,             0.88321,              0.7192,             0.76718,             0.44813,            0.029869,            0.016142,           0.0018469,            0.005842,            0.005842,            0.005842
                 128,            0.031722,            0.022308,           0.0028144,             0.88514,             0.72037,             0.76833,             0.44866,             0.02984,            0.016127,           0.0018438,            0.005809,            0.005809,            0.005809
                 129,            0.031666,            0.022411,           0.0028354,             0.88569,             0.71959,             0.76839,             0.44965,            0.029811,             0.01611,           0.0018404,            0.005776,            0.005776,            0.005776
                 130,            0.031818,            0.022382,           0.0028673,             0.88586,             0.71852,              0.7685,                0.45,            0.029782,            0.016094,           0.0018375,            0.005743,            0.005743,            0.005743
                 131,            0.031638,             0.02226,           0.0027958,              0.8871,             0.71879,             0.76888,             0.45031,            0.029755,            0.016078,           0.0018347,             0.00571,             0.00571,             0.00571
                 132,            0.031692,            0.022475,           0.0028209,             0.88836,              0.7183,              0.7692,             0.45022,            0.029729,            0.016061,           0.0018316,            0.005677,            0.005677,            0.005677
                 133,              0.0316,            0.022197,           0.0028561,             0.89045,             0.71843,              0.7696,             0.45066,            0.029702,            0.016045,           0.0018286,            0.005644,            0.005644,            0.005644
                 134,            0.031606,            0.022272,           0.0028755,             0.89091,             0.71953,                0.77,             0.45134,            0.029673,             0.01603,           0.0018257,            0.005611,            0.005611,            0.005611
                 135,            0.031459,            0.022364,           0.0028288,              0.8919,             0.72051,             0.77033,             0.45161,            0.029644,            0.016015,           0.0018226,            0.005578,            0.005578,            0.005578
                 136,             0.03144,            0.022313,           0.0028351,             0.89275,             0.72091,              0.7712,             0.45206,            0.029617,            0.015999,           0.0018197,            0.005545,            0.005545,            0.005545
                 137,            0.031536,            0.022262,           0.0028064,             0.89361,             0.72112,             0.77169,               0.453,            0.029587,            0.015983,           0.0018163,            0.005512,            0.005512,            0.005512
                 138,            0.031346,            0.022179,           0.0027942,             0.89213,             0.72172,             0.77162,             0.45358,            0.029558,            0.015967,           0.0018137,            0.005479,            0.005479,            0.005479
                 139,            0.031378,            0.022254,           0.0028259,             0.89321,             0.72141,             0.77207,             0.45354,            0.029531,            0.015951,           0.0018104,            0.005446,            0.005446,            0.005446
                 140,            0.031173,            0.022093,           0.0027505,             0.89438,             0.72049,             0.77238,             0.45415,            0.029503,            0.015935,           0.0018076,            0.005413,            0.005413,            0.005413
                 141,            0.031254,            0.022059,           0.0027961,              0.8935,             0.72064,             0.77209,             0.45475,            0.029474,            0.015918,           0.0018046,             0.00538,             0.00538,             0.00538
                 142,            0.031258,            0.021958,           0.0027552,             0.89173,             0.72133,             0.77254,             0.45563,            0.029445,            0.015902,           0.0018017,            0.005347,            0.005347,            0.005347
                 143,            0.031261,             0.02195,           0.0027641,             0.89115,             0.72086,             0.77219,             0.45616,            0.029415,            0.015888,           0.0017988,            0.005314,            0.005314,            0.005314
                 144,            0.031114,            0.022051,           0.0027992,             0.89223,             0.72127,             0.77209,             0.45632,            0.029389,            0.015874,           0.0017957,            0.005281,            0.005281,            0.005281
                 145,            0.031142,            0.021985,           0.0027182,             0.89422,              0.7197,             0.77218,              0.4567,            0.029363,             0.01586,           0.0017931,            0.005248,            0.005248,            0.005248
                 146,            0.031159,            0.022031,           0.0027213,             0.89471,             0.71944,             0.77275,             0.45718,            0.029338,            0.015845,           0.0017908,            0.005215,            0.005215,            0.005215
